,Name,Daily_Pickup_Totes,Weekly_Dropoff_Totes,category,Address,location_type,pickup_type
0,Moody Gardens,0,0,,,depot,Truck
1,Sugar Bean,1,1,cafe,"11 Evia Main, Galveston",indoor,Truck
2,MAC-IES,1,1,restaurant,"1110 23rd Street, Galveston",indoor,Truck
3,Good Dough,1,1,bakery,"1508 39th Street, Galveston",indoor,Truck
4,Porch Cafe,1,1,restaurant,"1625 East Beach Drive #2A, Galveston",indoor,Truck
5,Coastal Grill,1,1,restaurant,"1827 The Strand, Galveston",indoor,Truck
6,Texas A&M University at Galveston,1,1,university,"200 Seawolf Parkway, Galveston",indoor,Truck
7,Rudy & Paco Restaurant and Bar,1,1,bar,"2028 Postoffice St, Galveston",indoor,Truck
8,Vargas Cut and Catch (listed above),1,1,bar,"2102 Postoffice Street, Galveston",indoor,Truck
9,MarMo Cafe & Lounge,1,1,bar,"2121 Market Street suite 101, Galveston",indoor,Truck
10,Toujouse (listed under Tremont House),1,1,cafe,"2300 Ship Mechanic Row Street, Galveston",indoor,Truck
11,The Pink Foyer Sweets Boutique,1,1,bakery,"2315 Mechanic Street, Galveston",indoor,Truck
12,Riondo's Ristorante,1,1,restaurant,"2328 The Strand, Galveston",indoor,Truck
13,Sugar & Rye,1,1,restaurant,"2401 Church Street, Galveston",indoor,Truck
14,Maceo Spice & Import Company,1,1,restaurant,"2706 Market Street, Galveston",indoor,Truck
15,BLVD Seafood (all of Yagas Entertainment),1,1,restaurant,"2804 Avenue R 1/2, Galveston",indoor,Truck
16,Galveston College,1,1,university,"4015 Avenue Q, Galveston",indoor,Truck
17,Galveston College Charlie Thomas Family Applied Technology Center,3,2,university,"7626 Broadway Street, Galveston",indoor,Truck
18,Galveston Country club,1,1,restaurant,"14888 Stewart rd Galveston, TX 77554",indoor,Truck
19,Mr. C's Dugout @Galveston College,1,1,restaurant,"Student Center, 4015 Avenue Q, Galveston",indoor,Truck
20,Galveston Bagel Company,1,1,bakery,"1110 23rd Street, Galveston",indoor,Truck
21,Shykatz,2,1,cafe,"1528 Avenue L, Galveston",indoor,Truck
22,Cajun Greek,1,1,restaurant,"2226 61st St Galveston, TX 77551",indoor,Truck
23,Leeland House Galveston,1,1,bar,"2711 Market Street, Galveston",indoor,Truck
24,Red Light Coffee Roasters,1,1,cafe,"2728 Market Street, Galveston",indoor,Truck
25,Gaido's,1,1,restaurant,"3828 Seawall Boulevard, Galveston",indoor,Truck
26,Eatcetera,1,1,restaurant,"408 25th Street, Galveston",indoor,Truck
27,Star Drug Store,2,1,restaurant,"510 23rd Street, Galveston",indoor,Truck
28,The Sunflower Bakery & Cafe,1,1,cafe,"512 14th Street, Galveston",indoor,Truck
29,Mosquito Cafe,1,1,restaurant,"628 14th Street, Galveston",indoor,Truck
30,PattyCakes Bakery,1,1,bakery,"704 14th Street, Galveston",indoor,Truck
31,Sapori,1,1,restaurant,"7611 Stewart Road, Galveston",indoor,Truck
32,galveston vfw hall,1,1,restaurant,"1014 24th Street Rear, Galveston",indoor,Truck
33,Cooper's Landing,1,1,restaurant,"11150 Termini-San Luis Pass Road, Galveston",indoor,Truck
34,Cruise Plaza,1,1,restaurant,"112 19th Street, Galveston",indoor,Truck
35,Panda Express,2,1,restaurant,"11745 San Luis Pass Rd Galveston, TX 77554",indoor,Truck
36,Mr. Taco,1,1,restaurant,"120 20th Street, Galveston",indoor,Truck
37,Benno's Cajun Seafood Restaurant,1,1,restaurant,"1212 Seawall Boulevard, Galveston",indoor,Truck
38,Bambú,1,1,restaurant,"1220 23rd Street, Galveston",indoor,Truck
39,Lil’ Buffalo Grille,1,1,restaurant,"13 Evia Main, Galveston",indoor,Truck
40,Saltgrass Steak House,1,1,restaurant,"1502 Seawall Boulevard, Galveston",indoor,Truck
41,Chef Mary Bass,1,1,caterer,"1510 39th Street, Galveston",indoor,Truck
42,Nick's,1,1,restaurant,"1613 39th Street, Galveston",indoor,Truck
43,Longboard Pool Bar,1,1,bar,"1702 Seawall Boulevard, Galveston",indoor,Truck
44,Pennies Tex Mex Take Out,2,1,restaurant,"1713 37th Street, Galveston",indoor,Truck
45,Nate's Westend Seafood & Steaks,1,1,restaurant,"17515 Termini-San Luis Pass Road, Galveston",indoor,Truck
46,Fish Company Taco,1,1,restaurant,"1914 23rd Street, Galveston",indoor,Truck
47,Katie's Seafood House,1,1,restaurant,"2000 Wharf Road, Galveston",indoor,Truck
48,Saltwater Grill,1,1,restaurant,"2017 Postoffice Street, Galveston",indoor,Truck
49,Drunken Monkeyz,2,2,bar,"202 20th Street, Galveston",indoor,Truck
50,Hubcap Grill,1,1,bar,"2021 The Strand #3, Galveston",indoor,Truck
51,Monarch Restaurant,1,1,restaurant,"2024 Seawall Boulevard, Galveston",indoor,Truck
52,Galvez Bar & Grill,1,1,restaurant,"2024 Seawall Boulevard, Galveston",indoor,Truck
53,Willie G's Seafood & Steaks,1,1,restaurant,"2100 Harborside Drive, Galveston",indoor,Truck
54,Taquilo's Tex-Mex,2,1,restaurant,"2101 Postoffice St, Galveston",indoor,Truck
55,Sky Bar,1,1,restaurant,"2105 Postoffice St, Galveston",indoor,Truck
56,Little Daddy’s Gumbo Bar - Galveston,1,1,restaurant,"2107 Postoffice Street, Galveston",indoor,Truck
57,Schlitterbahn Waterpark Galveston,8,6,amusement_park,"2109 Gene Lucas Blvd, Galveston",indoor,Truck
58,Hey Mikey's Ice Cream,1,1,cafe,"2120 Postoffice St, Galveston",indoor,Truck
59,Vintage Crown Michelada Bar & Taqueria,1,1,bar,"215 23rd Street, Galveston",indoor,Truck
60,The West End Marina and Restaurants,1,1,bar,"21706 Burnet Drive, Galveston",indoor,Truck
61,Fisherman's Wharf,1,1,restaurant,"2200 Harborside Drive, Galveston",indoor,Truck
62,Axecade,1,1,restaurant,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",indoor,Truck
63,Britton's Bistro (Murdocks),2,1,restaurant,"2226 71st St Galveston, TX 77551",indoor,Truck
64,Tsunami Tequila Emporium,1,1,bar,"2314 The Strand, Galveston",indoor,Truck
65,Playground Patio Bar & Grill,1,1,bar,"2325 The Strand, Galveston",indoor,Truck
66,Press Box,2,2,bar,"2401 Postoffice Street, Galveston",indoor,Truck
67,Shark Shack,1,1,bar,"2402 The Strand, Galveston",indoor,Truck
68,Jack's Pub On Post Office,2,2,bar,"2406 Postoffice St, Galveston",indoor,Truck
69,Hearsay On The Strand,1,1,restaurant,"2410 The Strand, Galveston",indoor,Truck
70,Patrick’s Bar,1,1,bar,"2411 The Strand B, Galveston",indoor,Truck
71,Trini Mike's Island Time Kitchen (Food Truck),1,1,restaurant,"2424 Post Office, Galveston (Sharkeys)",indoor,Truck
72,La Estacion Restaurant,1,1,restaurant,"2428 Avenue H, Galveston",indoor,Truck
73,Robert's Lafitte,1,1,bar,"2501 Avenue Q, Galveston",indoor,Truck
74,Bubba Gump Shrimp Co.,1,1,restaurant,"2501 Seawall Boulevard, Galveston",indoor,Truck
75,Fish Tales,1,1,restaurant,"2502 Seawall Boulevard, Galveston",indoor,Truck
76,Shrimp 'N Stuff Downtown,2,1,restaurant,"2506 Avenue H, Galveston",indoor,Truck
77,Freckleberry Teahouse,1,1,cafe,"2724 Market Street, Galveston",indoor,Truck
78,Taco Cabana,2,1,restaurant,"2729 61st St. Galveston, TX 77551",indoor,Truck
79,Float Pool & Patio Bar,1,1,bar,"2828 Seawall Boulevard, Galveston",indoor,Truck
80,The Poop Deck,1,1,bar,"2928 Seawall Boulevard, Galveston",indoor,Truck
81,Island time beach bar,2,2,bar,"3102 Seawall Boulevard, Galveston",indoor,Truck
82,Taqueria Flores,2,1,restaurant,"3202 Broadway Avenue J #4228, Galveston",indoor,Truck
83,Under the Bun,1,1,restaurant,"3202 Seawall Boulevard, Galveston (SPOT)",indoor,Truck
84,Squeeze,1,1,bar,"3204 Seawall Boulevard c, Galveston (spot)",indoor,Truck
85,Tiki Bar,2,2,bar,"3204 Seawall Boulevard Suite B, Galveston",indoor,Truck
86,SideYard,1,1,bar,"3204 Seawall Boulevard Suite D, Galveston",indoor,Truck
87,Rum Shack,1,1,bar,"3204 Seawall Boulevard Suite E, Galveston",indoor,Truck
88,Drip,1,1,bar,"3204 Seawall Boulevard, Galveston",indoor,Truck
89,Black Pearl Oyster Bar,1,1,restaurant,"327 23rd Street, Galveston",indoor,Truck
90,La Michoacana Meat Market,2,1,supermarket,"3301 Broadway Avenue J, Galveston",indoor,Truck
91,Queen's Bar-B-Que,2,1,restaurant,"3428 Avenue S, Galveston",indoor,Truck
92,Joe's Crab Shack,1,1,restaurant,"3502 Seawall Boulevard, Galveston",indoor,Truck
93,The Gumbo Diner,1,1,restaurant,"3602 Seawall Boulevard, Galveston",indoor,Truck
94,Rail Road Museum,1,1,restaurant,"2602 Santa Fe Pl, Galveston",indoor,Truck
95,Redfish Pool Bar,1,1,bar,"3788 Seawall Boulevard, Galveston",indoor,Truck
