location,way_points,waypoints_location,waypoints_instruction
0,0,"[-94.852238, 29.273577]",Drive south.
0,1,"[-94.852602, 29.272814]",Turn left onto Hope Boulevard.
0,2,"[-94.849917, 29.2708]",Your destination is on the right.
1,0,"[-94.849917, 29.2708]",Drive south on Hope Boulevard.
1,1,"[-94.848802, 29.267623]",Turn left onto Jones Drive.
1,2,"[-94.838067, 29.272507]",Bear left onto Stewart Road.
1,3,"[-94.831075, 29.275585]",Turn left onto 61st Street/Spur 342.
1,4,"[-94.831745, 29.276841]",Your destination is on the right.
2,0,"[-94.831745, 29.276841]",Drive northwest on 61st Street/Spur 342.
2,1,"[-94.831939, 29.277207]",Turn right onto Avenue Q ½.
2,2,"[-94.831613, 29.277321]",Your destination is on the right.
3,0,"[-94.831613, 29.277321]",Drive northeast on Avenue Q ½.
3,1,"[-94.829832, 29.277955]",Turn right onto 59th Street.
3,2,"[-94.829468, 29.277271]",Turn right onto Avenue R.
3,3,"[-94.831518, 29.276412]",Turn right onto 61st Street/Spur 342.
3,4,"[-94.832352, 29.278169]",Turn right.
3,5,"[-94.831836, 29.278344]",You have arrived at your destination.
4,0,"[-94.831836, 29.278344]",Drive south.
4,1,"[-94.832352, 29.278169]",Turn right onto 61st Street/Spur 342.
4,2,"[-94.832675, 29.278973]",Turn right onto Heards Lane.
4,3,"[-94.832115, 29.279204]",Turn left.
4,4,"[-94.832205, 29.279373]",Turn right.
4,5,"[-94.832168, 29.279799]",Your destination is on the left.
5,0,"[-94.832168, 29.279799]",Drive northwest.
5,1,"[-94.832226, 29.279902]",Make a left U-turn.
5,2,"[-94.83248, 29.279261]",Turn right.
5,3,"[-94.832682, 29.27949]",Turn left.
5,4,"[-94.832881, 29.279411]",Turn right onto 61st Street/Spur 342.
5,5,"[-94.838095, 29.288879]",Turn left toward Spur 342/61st Street/Moody Gardens/Scholes International Airport.
5,6,"[-94.856868, 29.28689]",Turn right onto 77th Street.
5,7,"[-94.857091, 29.287301]",Turn right.
5,8,"[-94.856952, 29.287369]",Your destination is on the left.
6,0,"[-94.856952, 29.287369]",Drive southeast.
6,1,"[-94.856247, 29.28725]",Turn right.
6,2,"[-94.856194, 29.287113]",Turn right toward I 45 North.
6,3,"[-94.862912, 29.285764]",Turn right onto Harborside Drive/TX 275.
6,4,"[-94.863248, 29.289019]",Turn right.
6,5,"[-94.862696, 29.289112]",Your destination is on the right.
7,0,"[-94.862696, 29.289112]",Drive east.
7,1,"[-94.863305, 29.288758]",Turn left onto Harborside Drive/TX 275.
7,2,"[-94.863039, 29.284889]",Turn left onto Broadway Street.
7,3,"[-94.858253, 29.285822]",Turn right onto Walsh Lane.
7,4,"[-94.857894, 29.285259]",Turn left to stay on Walsh Lane.
7,5,"[-94.857645, 29.285363]",Your destination is on the right.
8,0,"[-94.857645, 29.285363]",Drive northeast on Walsh Lane.
8,1,"[-94.857444, 29.285448]",Turn left.
8,2,"[-94.858015, 29.285916]",Turn right onto Broadway Street.
8,3,"[-94.854435, 29.287149]",Bear left toward I 45 South.
8,4,"[-94.824047, 29.29157]",Turn left onto 51st Street.
8,5,"[-94.815987, 29.318668]",Turn right onto Texas Clipper Road.
8,6,"[-94.815435, 29.317003]",Turn right.
8,7,"[-94.815984, 29.315766]",Turn right.
8,8,"[-94.817216, 29.31601]",Turn left.
8,9,"[-94.817422, 29.315641]",Turn right.
8,10,"[-94.817566, 29.315706]",You have arrived at your destination.
9,0,"[-94.817566, 29.315706]",Drive north.
9,1,"[-94.817412, 29.316099]",Turn right.
9,2,"[-94.815984, 29.315766]",Turn left.
9,3,"[-94.815435, 29.317003]",Turn left onto Texas Clipper Road.
9,4,"[-94.815987, 29.318668]",Turn left onto Seawolf Parkway.
9,5,"[-94.820536, 29.315656]",Turn left.
9,6,"[-94.819814, 29.315238]",Turn right.
9,7,"[-94.81888, 29.313263]",Your destination is on the right.
10,0,"[-94.81888, 29.313263]",Drive east.
10,1,"[-94.817402, 29.313496]",Turn right.
10,2,"[-94.817961, 29.313193]",Turn left.
10,3,"[-94.819814, 29.315238]",Turn left.
10,4,"[-94.820536, 29.315656]",Turn left onto Seawolf Parkway.
10,5,"[-94.824047, 29.29157]",Turn left onto Broadway - Avenue J/TX 87.
10,6,"[-94.822463, 29.291981]",Your destination is on the right.
11,0,"[-94.822463, 29.291981]",Drive east on Broadway - Avenue J/TX 87.
11,1,"[-94.817201, 29.293371]",Turn right onto 45th Street.
11,2,"[-94.817155, 29.293238]",Your destination is on the right.
12,0,"[-94.817155, 29.293238]",Drive south on 45th Street.
12,1,"[-94.816898, 29.292481]",Turn left onto Avenue K.
12,2,"[-94.815753, 29.292782]",Turn left onto 44th Street.
12,3,"[-94.816048, 29.293678]",Turn right onto Broadway - Avenue J/TX 87.
12,4,"[-94.810336, 29.295159]",Turn right onto Mike Gaido Boulevard - 39th Street.
12,5,"[-94.809693, 29.293276]",Your destination is on the left.
13,0,"[-94.809693, 29.293276]",Drive south on Mike Gaido Boulevard - 39th Street.
13,1,"[-94.808765, 29.290557]",Your destination is on the left.
14,0,"[-94.808765, 29.290557]",Drive south on Mike Gaido Boulevard - 39th Street.
14,1,"[-94.808707, 29.290386]",Turn left.
14,2,"[-94.80845, 29.290451]",Your destination is on the left.
15,0,"[-94.80845, 29.290451]",Drive east.
15,1,"[-94.80755, 29.290682]",Turn right onto 38th Street.
15,2,"[-94.807252, 29.289809]",Turn right.
15,3,"[-94.808531, 29.289489]",Your destination is on the left.
16,0,"[-94.808531, 29.289489]",Drive west.
16,1,"[-94.809553, 29.289208]",Turn right onto 40th Street.
16,2,"[-94.809705, 29.289653]",Turn right onto Avenue N ½.
16,3,"[-94.808565, 29.289954]",Turn right onto Mike Gaido Boulevard - 39th Street.
16,4,"[-94.80678, 29.284742]",Turn right onto Avenue Q ½.
16,5,"[-94.80771, 29.284486]",You have arrived at your destination.
17,0,"[-94.80771, 29.284486]",Drive east on Avenue Q ½.
17,1,"[-94.80678, 29.284742]",Turn right onto Mike Gaido Boulevard - 39th Street.
17,2,"[-94.805292, 29.280382]",Turn left onto Avenue T.
17,3,"[-94.80436, 29.280625]",Turn right.
17,4,"[-94.804128, 29.279875]",You have arrived at your destination.
18,0,"[-94.804128, 29.279875]",Drive east.
18,1,"[-94.80436, 29.280625]",Turn right onto Avenue T.
18,2,"[-94.80301, 29.280976]",Turn right onto 37th Street.
18,3,"[-94.802747, 29.280289]",Turn right onto Seawall Boulevard.
18,4,"[-94.804255, 29.279313]",Your destination is on the right.
19,0,"[-94.804255, 29.279313]",Drive southwest on Seawall Boulevard.
19,1,"[-94.806688, 29.277863]",Turn right onto Jack Johnson Boulevard - 41st Street.
19,2,"[-94.807028, 29.278222]",Turn right onto Avenue U.
19,3,"[-94.804958, 29.279404]",Turn right onto Mike Gaido Boulevard - 39th Street.
19,4,"[-94.80474, 29.278999]",Turn left onto Seawall Boulevard.
19,5,"[-94.803639, 29.279712]",Your destination is on the left.
20,0,"[-94.803639, 29.279712]",Drive northeast on Seawall Boulevard.
20,1,"[-94.801576, 29.281055]",Turn left.
20,2,"[-94.801753, 29.281391]",Turn left.
20,3,"[-94.801951, 29.281329]",Your destination is on the left.
21,0,"[-94.801951, 29.281329]",Drive west.
21,1,"[-94.802768, 29.281265]",Turn right.
21,2,"[-94.801816, 29.281537]",Turn left.
21,3,"[-94.801868, 29.281663]",Turn right.
21,4,"[-94.801641, 29.281791]",Your destination is on the right.
22,0,"[-94.801641, 29.281791]",Drive northeast.
22,1,"[-94.80092, 29.282124]",Turn left onto 35th Street.
22,2,"[-94.80133, 29.283317]",Turn right onto Avenue S.
22,3,"[-94.801154, 29.283362]",Your destination is on the left.
24,0,"[-94.798228, 29.283774]",Drive north.
24,1,"[-94.798228, 29.283774]",Your destination is on the left.
25,0,"[-94.798228, 29.283774]",Drive west.
25,1,"[-94.798547, 29.284042]",Turn right onto Avenue S.
25,2,"[-94.798091, 29.284164]",Turn right.
25,3,"[-94.797961, 29.283811]",Your destination is on the right.
26,0,"[-94.797961, 29.283811]",Drive south.
26,1,"[-94.797928, 29.28372]",Your destination is on the right.
27,0,"[-94.797928, 29.28372]",Drive south.
27,1,"[-94.797894, 29.28363]",Your destination is on the right.
28,0,"[-94.797894, 29.28363]",Drive north.
28,1,"[-94.797894, 29.28363]",Your destination is on the right.
29,0,"[-94.797894, 29.28363]",Drive north.
29,1,"[-94.797894, 29.28363]",Your destination is on the right.
30,0,"[-94.797894, 29.28363]",Drive south.
30,1,"[-94.797838, 29.283477]",Turn left onto Seawall Boulevard.
30,2,"[-94.796967, 29.284044]",Your destination is on the left.
31,0,"[-94.796967, 29.284044]",Drive northeast on Seawall Boulevard.
31,1,"[-94.795591, 29.284936]",Turn left onto 30th Street.
31,2,"[-94.795741, 29.285252]",Turn right.
31,3,"[-94.795628, 29.285281]",Your destination is on the right.
32,0,"[-94.795628, 29.285281]",Drive east.
32,1,"[-94.794864, 29.285414]",Bear left onto Seawall Boulevard.
32,2,"[-94.794298, 29.285781]",Your destination is on the left.
33,0,"[-94.794298, 29.285781]",Drive northeast on Seawall Boulevard.
33,1,"[-94.793595, 29.286239]",Turn left onto 28th Street.
33,2,"[-94.793785, 29.286719]",Turn left.
33,3,"[-94.79402, 29.286657]",Your destination is on the left.
34,0,"[-94.79402, 29.286657]",Drive west.
34,1,"[-94.794722, 29.286472]",Turn left.
34,2,"[-94.794574, 29.286039]",Turn left onto Avenue R ½.
34,3,"[-94.794148, 29.286151]",Your destination is on the left.
35,0,"[-94.794148, 29.286151]",Drive east on Avenue R ½.
35,1,"[-94.791036, 29.287892]",Turn left.
35,2,"[-94.791264, 29.288318]",Turn right.
35,3,"[-94.790934, 29.288402]",Your destination is on the right.
36,0,"[-94.790934, 29.288402]",Drive east.
36,1,"[-94.790659, 29.288471]",Turn right onto Rosenberg Avenue - 25th Street.
36,2,"[-94.790564, 29.288209]",Turn right onto Seawall Boulevard.
36,3,"[-94.790564, 29.288209]",Your destination is on the left.
37,0,"[-94.790564, 29.288209]",Drive southwest on Seawall Boulevard.
37,1,"[-94.792583, 29.286884]",Turn right onto 27th Street.
37,2,"[-94.793358, 29.289189]",Turn right onto Avenue Q.
37,3,"[-94.791103, 29.289786]",Turn right onto Rosenberg Avenue - 25th Street.
37,4,"[-94.791051, 29.28964]",Your destination is on the right.
38,0,"[-94.791051, 29.28964]",Drive south on Rosenberg Avenue - 25th Street.
38,1,"[-94.790564, 29.288209]",Turn left onto Seawall Boulevard.
38,2,"[-94.788455, 29.289833]",Turn left onto Tremont Avenue - 23rd Street.
