Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,Weekly_Dropoff_Totes,Daily_Pickup_Totes,id,service_type,location_type
Sugar Bean,476.0,cafe,4.7,29.2610286,-94.8704183,200,50,200,"11 Evia Main, Galveston",POINT (-94.8704183 29.2610286),Curious,High,No,High,1.0,1.0,,Truck,
MAC-IES,73.0,restaurant,5.0,29.2989118,-94.7913851,1500,1050,1500,"1110 23rd Street, Galveston",POINT (-94.7913851 29.2989118),Curious,High,No,Low,1.0,1.0,,Truck,
Good Dough,68.0,bakery,4.6,29.2906119,-94.808531,70,35,70,"1508 39th Street, Galveston",POINT (-94.808531 29.2906119),Curious,High,No,Med,1.0,1.0,,Truck,
Porch Cafe,332.0,restaurant,4.1,29.3195806,-94.7501916,300,,100,"1625 East Beach Drive #2A, Galveston",POINT (-94.7501916 29.3195806),Curious,High,No,Low,1.0,1.0,,Truck,
Coastal Grill,814.0,restaurant,4.6,29.308158,-94.789455,500,100,500,"1827 The Strand, Galveston",POINT (-94.789455 29.308158),Skeptical,High,No,Med,1.0,1.0,,Truck,
Texas A&M University at Galveston,121.0,university,4.6,29.3154967,-94.8182868,?,,?,"200 Seawolf Parkway, Galveston",POINT (-94.8182868 29.3154967),Curious,High,No,High,1.0,1.0,,Truck,
Rudy & Paco Restaurant and Bar,892.0,bar,4.7,29.3053363,-94.791081,100,75,100,"2028 Postoffice St, Galveston",POINT (-94.791081 29.3053363),Hesitant,High,No,High,1.0,1.0,,Truck,
Vargas Cut and Catch (listed above),297.0,bar,4.8,29.3052268,-94.7913854,35,49,35,"2102 Postoffice Street, Galveston",POINT (-94.7913854 29.3052268),Curious,High,No,High,,,,Truck,
MarMo Cafe & Lounge,19.0,bar,4.8,29.3056002,-94.792103,140,35,140,"2121 Market Street suite 101, Galveston",POINT (-94.792103 29.3056002),High,High,No,Med,1.0,1.0,,Truck,
Toujouse (listed under Tremont House),6.0,cafe,5.0,29.3062632,-94.7948312,0,0,625,"2300 Ship Mechanic Row Street, Galveston",POINT (-94.7948312 29.3062632),Curious,High,No,High,1.0,1.0,,Truck,
The Pink Foyer Sweets Boutique,1.0,bakery,5.0,29.3060402,-94.7945911,0,0,112.5,"2315 Mechanic Street, Galveston",POINT (-94.7945911 29.3060402),Curious,High,No,Low,1.0,1.0,,Truck,
Riondo's Ristorante,758.0,restaurant,4.5,29.3070258,-94.795454,70,70,70,"2328 The Strand, Galveston",POINT (-94.795454 29.3070258),Fan,High,No,Med,1.0,1.0,,Truck,
Sugar & Rye,128.0,restaurant,4.8,29.3031184,-94.7944536,35,70,35,"2401 Church Street, Galveston",POINT (-94.7944536 29.3031184),Curious,High,No,Low,1.0,1.0,,Truck,
Maceo Spice & Import Company,564.0,restaurant,4.7,29.3042052,-94.7988412,1050,420,1050,"2706 Market Street, Galveston",POINT (-94.7988412 29.3042052),Fan,High,No,Med,1.0,1.0,,Truck,
BLVD Seafood (all of Yagas Entertainment),2158.0,restaurant,4.5,29.2865539,-94.7939604,400,105,400,"2804 Avenue R 1/2, Galveston",POINT (-94.7939604 29.2865539),Skeptical,High,No,High,1.0,1.0,,Truck,
Galveston College,65.0,university,4.4,29.2840785,-94.8084945,20,20,20,"4015 Avenue Q, Galveston",POINT (-94.8084945 29.2840785),Curious,High,No,High,1.0,1.0,,Truck,
Galveston College Charlie Thomas Family Applied Technology Center,9.0,university,5.0,29.2876496,-94.8567631,0,0,1875,"7626 Broadway Street, Galveston",POINT (-94.8567631 29.2876496),Skeptical,High,No,Med,2.0,3.0,,Truck,
Galveston Country club,88.0,restaurant,4.5,29.28896,-94.8627,500,100,500,"14888 Stewart rd Galveston, TX 77554",POINT (-94.8627 29.28896),Curious,High,Yes,Med,1.0,1.0,,Truck,
Mr. C's Dugout @Galveston College,2.0,restaurant,3.0,29.284711,-94.807822,,,93.75,"Student Center, 4015 Avenue Q, Galveston",POINT (-94.807822 29.284711),Curious,High,No,High,1.0,1.0,,Truck,
Galveston Bagel Company,140.0,bakery,4.7,29.2989118,-94.7913851,2100,1750,2100,"1110 23rd Street, Galveston",POINT (-94.7913851 29.2989118),Curious,High,Yes,Low,1.0,1.0,,Truck,
Shykatz,930.0,cafe,4.6,29.3005619,-94.7832253,800,500,800,"1528 Avenue L, Galveston",POINT (-94.7832253 29.3005619),Curious,High,Yes,Med,1.0,2.0,,Truck,
Cajun Greek,999.0,restaurant,4.0,29.2769392,-94.8316408,50,25,50,"2226 61st St Galveston, TX 77551",POINT (-94.8316408 29.2769392),Curious,High,Yes,Med,1.0,1.0,,Truck,
Leeland House Galveston,51.0,bar,4.6,29.3038963,-94.7988738,140,70,140,"2711 Market Street, Galveston",POINT (-94.7988738 29.3038963),Skeptical,High,Yes,Med,1.0,1.0,,Truck,
Red Light Coffee Roasters,305.0,cafe,4.6,29.3040468,-94.7995497,150,100,150,"2728 Market Street, Galveston",POINT (-94.7995497 29.3040468),Curious,High,Yes,Med,1.0,1.0,,Truck,
Gaido's,5568.0,restaurant,4.4,29.2796255,-94.8045,140,0,140,"3828 Seawall Boulevard, Galveston",POINT (-94.8045 29.2796255),Curious,High,Yes,High,1.0,1.0,,Truck,
Eatcetera,299.0,restaurant,4.5,29.3044994,-94.795793,42,42,42,"408 25th Street, Galveston",POINT (-94.795793 29.3044994),Raving Fan,High,Yes,Med,1.0,1.0,,Truck,
Star Drug Store,1247.0,restaurant,4.5,29.304249,-94.7931581,140,35,140,"510 23rd Street, Galveston",POINT (-94.7931581 29.304249),Curious,High,Yes,Low,1.0,2.0,,Truck,
The Sunflower Bakery & Cafe,3947.0,cafe,4.6,29.3070498,-94.7829794,350,350,350,"512 14th Street, Galveston",POINT (-94.7829794 29.3070498),Skeptical,High,Yes,High,1.0,1.0,,Truck,
Mosquito Cafe,2625.0,restaurant,4.4,29.3057145,-94.7825488,300,150,300,"628 14th Street, Galveston",POINT (-94.7825488 29.3057145),Fan,High,Yes,High,1.0,1.0,,Truck,
PattyCakes Bakery,317.0,bakery,4.2,29.3054245,-94.78242,0,0,150,"704 14th Street, Galveston",POINT (-94.78242 29.3054245),Fan,High,Yes,High,1.0,1.0,,Truck,
Sapori,365.0,restaurant,4.5,29.2592634,-94.8412938,0,0,93.75,"7611 Stewart Road, Galveston",POINT (-94.8412938 29.2592634),Curious,High,Yes,Low,1.0,1.0,,Truck,
