Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude,Cumulative_Distance,Truck_Load
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",29.2736,-94.8523,0,0
166,Gino's Italian Restaurant and Pizzeria,1.0,1.0,"6124 Stewart Road, Galveston",29.2753,-94.8322,2705,1
164,Gypsy Joynt,1.0,2.0,"6105 Stewart Rd Galveston, TX 77551",29.2742,-94.8316,2852,3
165,Café Canela,1.0,1.0,"6105 Stewart Road Suite C, Galveston",29.2744,-94.8308,2931,4
159,Papa's Pizza,4.0,5.0,"4400 Seawall Blvd Galveston, TX 77550",29.2765,-94.8095,5391,9
98,Mr Taco & Limon Paradise,1.0,2.0,"4112 Seawall Boulevard, Galveston",29.2778,-94.8073,5710,11
95,Nick's Kitchen and Beach Bar,1.0,1.0,"3802 Seawall Boulevard, Galveston",29.2798,-94.804,6289,12
80,The Poop Deck,1.0,1.0,"2928 Seawall Boulevard, Galveston",29.2852,-94.7956,7507,13
154,Beerfoot Beach Bar,1.0,1.0,"2816 Avenue R 1/2, Galveston",29.2863,-94.7942,7745,14
75,Fish Tales,1.0,1.0,"2502 Seawall Boulevard, Galveston",29.2883,-94.7909,8195,15
73,Robert's Lafitte,1.0,1.0,"2501 Avenue Q, Galveston",29.2896,-94.7912,8475,16
38,Bambú,1.0,1.0,"1220 23rd Street, Galveston",29.2977,-94.791,9878,17
20,Galveston Bagel Company,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914,10016,18
2,MAC-IES,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914,10016,19
32,galveston vfw hall,1.0,1.0,"1014 24th Street Rear, Galveston",29.2991,-94.7926,10134,20
76,Shrimp 'N Stuff Downtown,1.0,2.0,"2506 Avenue H, Galveston",29.3014,-94.7958,10826,22
167,Vida Agave,1.0,1.0,"711 25th Street, Galveston",29.3018,-94.7955,10866,23
72,La Estacion Restaurant,1.0,1.0,"2428 Avenue H, Galveston",29.3015,-94.7948,10970,24
71,Trini Mike's Island Time Kitchen (Food Truck),1.0,1.0,"2424 Post Office, Galveston (Sharkeys)",29.3042,-94.7955,11292,25
66,Press Box,2.0,2.0,"2401 Postoffice Street, Galveston",29.304,-94.7948,11351,27
68,Jack's Pub On Post Office,2.0,2.0,"2406 Postoffice St, Galveston",29.3044,-94.7951,11463,29
89,Black Pearl Oyster Bar,1.0,1.0,"327 23rd Street, Galveston",29.3055,-94.794,11648,30
59,Vintage Crown Michelada Bar & Taqueria,1.0,1.0,"215 23rd Street, Galveston",29.3065,-94.7945,11846,31
148,The Garden Thai Cuisine,1.0,1.0,"216 23rd Street, Galveston",29.3066,-94.7941,11894,32
11,The Pink Foyer Sweets Boutique,1.0,1.0,"2315 Mechanic Street, Galveston",29.306,-94.7946,11984,33
10,Toujouse (listed under Tremont House),1.0,1.0,"2300 Ship Mechanic Row Street, Galveston",29.3063,-94.7948,11992,34
153,Bubba's on The Strand,2.0,2.0,"2411 The Strand, Galveston",29.3065,-94.7959,12138,36
65,Playground Patio Bar & Grill,1.0,1.0,"2325 The Strand, Galveston",29.3067,-94.7952,12209,37
12,Riondo's Ristorante,1.0,1.0,"2328 The Strand, Galveston",29.307,-94.7955,12299,38
69,Hearsay On The Strand,1.0,1.0,"2410 The Strand, Galveston",29.3069,-94.796,12354,39
70,Patrick’s Bar,1.0,1.0,"2411 The Strand B, Galveston",29.3066,-94.7959,12354,40
152,Brews Brothers,2.0,2.0,"2404 The Strand, Galveston",29.3069,-94.7959,12363,42
67,Shark Shack,1.0,1.0,"2402 The Strand, Galveston",29.3069,-94.7957,12381,43
64,Tsunami Tequila Emporium,1.0,1.0,"2314 The Strand, Galveston",29.3072,-94.7951,12446,44
151,Yaga's Cafe,1.0,1.0,"2314 The Strand, Galveston",29.3071,-94.795,12452,45
62,Axecade,1.0,1.0,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",29.3071,-94.7942,12525,46
140,Stuttgarden Tavern,1.0,1.0,"111 23rd Street, Galveston",29.3077,-94.7948,12614,47
61,Fisherman's Wharf,1.0,1.0,"2200 Harborside Drive, Galveston",29.3089,-94.7936,12846,48
53,Willie G's Seafood & Steaks,1.0,1.0,"2100 Harborside Drive, Galveston",29.3093,-94.7928,13069,49
145,Brewchachos Tacos & Cantina,1.0,1.0,"2110 The Strand, Galveston",29.3079,-94.7926,13220,50
146,Rosario`s flying pizza and pub,1.0,1.0,"2121 The Strand, Galveston",29.3073,-94.7928,13446,51
50,Hubcap Grill,1.0,1.0,"2021 The Strand #3, Galveston",29.3076,-94.7916,13567,52
103,The Wine Next Door,1.0,1.0,"418 21st Street, Galveston",29.3055,-94.7912,13821,53
102,Mama Teresa's Flying Pizza,1.0,2.0,"416 21st Street, Galveston",29.3055,-94.7912,13821,55
100,Shucks Tavern,1.0,1.0,"414 21st Street, Galveston",29.3056,-94.7912,13849,56
9,MarMo Cafe & Lounge,1.0,1.0,"2121 Market Street suite 101, Galveston",29.3056,-94.7921,13932,57
147,MOD Coffeehouse,2.0,3.0,"2126 Postoffice St, Galveston",29.305,-94.7921,14060,60
58,Hey Mikey's Ice Cream,1.0,1.0,"2120 Postoffice St, Galveston",29.3051,-94.7919,14081,61
56,Little Daddy’s Gumbo Bar - Galveston,1.0,1.0,"2107 Postoffice Street, Galveston",29.3049,-94.7915,14111,62
55,Sky Bar,1.0,1.0,"2105 Postoffice St, Galveston",29.3049,-94.7914,14120,63
54,Taquilo's Tex-Mex,1.0,2.0,"2101 Postoffice St, Galveston",29.3049,-94.7914,14120,65
8,Vargas Cut and Catch,1.0,1.0,"2102 Postoffice Street, Galveston",29.3052,-94.7914,14129,66
7,Rudy & Paco Restaurant and Bar,1.0,1.0,"2028 Postoffice St, Galveston",29.3053,-94.7911,14160,67
48,Saltwater Grill,1.0,1.0,"2017 Postoffice Street, Galveston",29.3051,-94.7906,14199,68
99,Trattoria La Vigna,1.0,1.0,"412 20th Street, Galveston",29.3062,-94.7902,14346,69
155,Huli Huli Hut,1.0,2.0,"312 19th Street, Galveston",29.3072,-94.7892,14545,71
5,Coastal Grill,1.0,1.0,"1827 The Strand, Galveston",29.3082,-94.7895,14689,72
34,Cruise Plaza,1.0,1.0,"112 19th Street, Galveston",29.309,-94.7898,14782,73
47,Katie's Seafood House,1.0,1.0,"2000 Wharf Road, Galveston",29.31,-94.7913,15058,74
36,Mr. Taco,1.0,1.0,"120 20th Street, Galveston",29.3084,-94.7909,15249,75
49,Drunken Monkeyz,2.0,2.0,"202 20th Street, Galveston",29.308,-94.7907,15306,77
142,The Original Mexican Cafe,1.0,1.0,"1401 Market Street, Galveston",29.3079,-94.7836,16200,78
28,The Sunflower Bakery & Cafe,1.0,1.0,"512 14th Street, Galveston",29.307,-94.783,16312,79
27,Star Drug Store,1.0,2.0,"510 23rd Street, Galveston",29.3042,-94.7932,17490,81
163,Lolo Kai Smoothies and Wraps,1.0,2.0,"528 23rd Street, Galveston",29.304,-94.7931,17492,83
13,Sugar & Rye,1.0,1.0,"2401 Church Street, Galveston",29.3031,-94.7945,17702,84
108,Sharky's Tavern,2.0,2.0,"504 25th Street, Galveston",29.3038,-94.7953,17851,86
26,Eatcetera,1.0,1.0,"408 25th Street, Galveston",29.3045,-94.7958,18010,87
14,Maceo Spice & Import Company,1.0,1.0,"2706 Market Street, Galveston",29.3042,-94.7988,18348,88
23,Leeland House Galveston,1.0,1.0,"2711 Market Street, Galveston",29.3039,-94.7989,18366,89
24,Red Light Coffee Roasters,1.0,1.0,"2728 Market Street, Galveston",29.304,-94.7995,18418,90
77,Freckleberry Teahouse,1.0,1.0,"2724 Market Street, Galveston",29.3042,-94.7994,18512,91
82,Taqueria Flores,1.0,2.0,"3202 Broadway Avenue J #4228, Galveston",29.2976,-94.8026,19690,93
90,La Michoacana Meat Market,1.0,2.0,"3301 Broadway Avenue J, Galveston",29.2966,-94.8036,20079,95
160,Koop's BBQ Kitchen,1.0,2.0,"4501 Broadway Avenue J, Galveston",29.2932,-94.8173,21617,97
6,Texas A&M University at Galveston,1.0,1.0,"200 Seawolf Parkway, Galveston",29.3155,-94.8183,26327,98
63,Britton's Bistro (Murdocks),1.0,2.0,"2226 71st St Galveston, TX 77551",29.3132,-94.8189,27860,100
106,Bronco Burritos,1.0,1.0,"4917 Broadway St Galveston, TX 77551",29.2918,-94.8224,31285,101
96,Cordray Drug Store,1.0,2.0,"3827 Ave L Galveston, TX 77550",29.2933,-94.8096,32733,103
41,Chef Mary Bass,1.0,1.0,"1510 39th Street, Galveston",29.2906,-94.8086,33047,104
3,Good Dough,1.0,1.0,"1508 39th Street, Galveston",29.2906,-94.8085,33093,105
42,Nick's,1.0,1.0,"1613 39th Street, Galveston",29.2894,-94.8085,33231,106
97,Shrimp N Stuff,1.0,2.0,"3901 Ave O Galveston, TX 77550",29.2887,-94.8084,33369,108
44,Pennies Tex Mex Take Out,1.0,2.0,"1713 37th Street, Galveston",29.2891,-94.806,33605,110
19,Mr. C's Dugout @Galveston College,1.0,1.0,"Student Center, 4015 Avenue Q, Galveston",29.2847,-94.8078,34406,111
16,Galveston College,1.0,1.0,"4015 Avenue Q, Galveston",29.2841,-94.8085,34915,112
131,Bar 43,1.0,1.0,,29.281,-94.8108,35460,113
