location,way_points,waypoints_location,waypoints_instruction
0,0,"[-94.852238, 29.273577]",Drive south.
0,1,"[-94.85254, 29.272946]",Turn right onto Hope Boulevard.
0,2,"[-94.854941, 29.27302]",Turn left to stay on Hope Boulevard.
0,3,"[-94.854348, 29.272921]",Your destination is on the right.
1,0,"[-94.854348, 29.272921]",Drive east on Hope Boulevard.
1,1,"[-94.852602, 29.272814]",Turn right onto Lockheed Road.
1,2,"[-94.852678, 29.270092]",Turn left.
1,3,"[-94.852444, 29.270081]",Your destination is on the left.
2,0,"[-94.852444, 29.270081]",Drive south.
2,1,"[-94.852595, 29.269897]",Turn left onto Lockheed Road.
2,2,"[-94.849723, 29.264935]",Turn right onto 81st Street.
2,3,"[-94.846051, 29.257581]",Turn right onto Stewart Road.
2,4,"[-94.854139, 29.25428]",Turn left onto 89th Street.
2,5,"[-94.853511, 29.253112]",Turn right.
2,6,"[-94.854118, 29.252854]",Your destination is on the right.
3,0,"[-94.854118, 29.252854]",Drive southwest.
3,1,"[-94.854581, 29.252658]",Turn right.
3,2,"[-94.854861, 29.253188]",Turn right.
3,3,"[-94.853702, 29.253031]",Turn left.
3,4,"[-94.853511, 29.253112]",Turn right onto 89th Street.
3,5,"[-94.852659, 29.251536]",Turn right onto Seawall Boulevard/FM 3005.
3,6,"[-94.852794, 29.251455]",Turn right.
3,7,"[-94.853164, 29.251653]",Your destination is on the right.
4,0,"[-94.853164, 29.251653]",Drive southwest.
4,1,"[-94.853197, 29.251215]",Turn right onto Seawall Boulevard/FM 3005.
4,2,"[-94.853475, 29.251049]",Your destination is on the left.
5,0,"[-94.853475, 29.251049]",Drive southwest on Seawall Boulevard/FM 3005.
5,1,"[-94.853529, 29.251017]",Your destination is on the left.
6,0,"[-94.853529, 29.251017]",Drive southwest on Seawall Boulevard/FM 3005.
6,1,"[-94.863785, 29.245177]",Keep right to take San Luis Pass Road/FM 3005.
6,2,"[-94.868127, 29.24388]",Bear right onto Cove View Boulevard.
6,3,"[-94.868301, 29.244247]",Turn right.
6,4,"[-94.868233, 29.244305]",Turn right.
6,5,"[-94.867955, 29.2444]",Your destination is on the left.
7,0,"[-94.867955, 29.2444]",Drive east.
7,1,"[-94.867747, 29.244471]",Your destination is on the left.
8,0,"[-94.867747, 29.244471]",Drive southeast.
8,1,"[-94.867591, 29.24431]",Turn right.
8,2,"[-94.867882, 29.244238]",Turn left.
8,3,"[-94.867928, 29.244115]",Turn right onto San Luis Pass Road/FM 3005.
8,4,"[-94.877861, 29.240438]",Your destination is on the right.
9,0,"[-94.877861, 29.240438]",Drive southwest on San Luis Pass Road/FM 3005.
9,1,"[-94.937444, 29.208067]",Turn right.
9,2,"[-94.937516, 29.208193]",Your destination is on the right.
10,0,"[-94.937516, 29.208193]",Drive northwest.
10,1,"[-94.937566, 29.208279]",Turn right.
