Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude,Cumulative_Distance,Truck_Load
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",29.2736,-94.8523,0,0
115,Cafe in the Park,3.0,3.0,"7 Hope Blvd Galveston, TX 77554",29.2731,-94.8509,201,3
123,Palm Beach At Moody Gardens,6.0,8.0,"8928, 1 Hope Boulevard, Galveston",29.2757,-94.851,552,11
139,Moody Gardens Restaurant (shown under other restaurant),1.0,1.0,"1 Hope Boulevard, Galveston",29.2757,-94.852,581,12
137,Rainforest Pyramid,1.0,2.0,"1 Hope Blvd Galveston, TX 77554",29.2755,-94.8526,755,14
138,Aquarium Pyramid,1.0,2.0,"1 Hope Blvd Galveston, TX 77554",29.2724,-94.8542,1745,16
116,Shearn's Seafood and Prime Steaks,1.0,1.0,"7 Hope Blvd Galveston, TX 77554",29.2708,-94.8505,2302,17
22,Cajun Greek,1.0,1.0,"2226 61st St Galveston, TX 77551",29.2769,-94.8316,4800,18
150,Mario's Ristorante,1.0,1.0,"2202 61st St Galveston, TX 77551",29.2771,-94.8315,4880,19
144,Yamato,1.0,1.0,"2104 61st Street, Galveston",29.2781,-94.8316,5081,20
112,Hooters,1.0,1.0,"6028 Heards Ln Galveston, TX 77551",29.2797,-94.8324,5372,21
17,Galveston College Charlie Thomas Family Applied Technology Center,2.0,3.0,"7626 Broadway Street, Galveston",29.2876,-94.8568,8609,24
18,Galveston Country club,1.0,1.0,"14888 Stewart rd Galveston, TX 77554",29.289,-94.8627,9704,25
121,Number 13 Prime Steak and Seafood,1.0,1.0,"7809 Broadway Street, Galveston",29.2851,-94.8575,10800,26
78,Taco Cabana,1.0,2.0,"2729 61st St. Galveston, TX 77551",29.2708,-94.829,15090,28
136,Tortuga Mexican Kitchen,1.0,1.0,,29.2675,-94.8256,15811,29
111,Landry's Prime Seafood & Steaks,1.0,1.0,"5310 Seawall Blvd Galveston, TX 77551",29.2707,-94.8202,16580,30
135,Rainforest Cafe,1.0,1.0,,29.2708,-94.8202,16626,31
134,Grotto (under San Luis),1.0,1.0,,29.2726,-94.8184,17138,32
110,The Cove,1.0,1.0,"5222 Seawall Boulevard, Galveston",29.2725,-94.8183,17143,33
130,Blake's Bistro (under San Luis),1.0,1.0,San Luis Hotel,29.2725,-94.8183,17143,34
109,H2O Pool + Bar,8.0,11.0,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",29.2724,-94.8174,17333,45
132,B. Jiggers Lounge,1.0,1.0,,29.2725,-94.8167,17423,46
128,Jetty,1.0,1.0,HI seawall,29.2728,-94.8166,17501,47
105,KritiKos Olympia Grill,1.0,1.0,"4908 Seawall Boulevard suite B, Galveston",29.2734,-94.8157,17639,48
161,Salsas,1.0,1.0,"4604 Seawall Boulevard, Galveston",29.2755,-94.8118,18251,49
104,Seawall Bar,1.0,2.0,"4302 Seawall Boulevard, Galveston (Tru Hotel)",29.2769,-94.8087,18622,51
25,Gaido's,1.0,1.0,"3828 Seawall Boulevard, Galveston",29.2796,-94.8045,19129,52
93,The Gumbo Diner,1.0,1.0,"3602 Seawall Boulevard, Galveston",29.2812,-94.8019,19514,53
92,Joe's Crab Shack,1.0,1.0,"3502 Seawall Boulevard, Galveston",29.2816,-94.8015,19592,54
91,Queen's Bar-B-Que,1.0,2.0,"3428 Avenue S, Galveston",29.2835,-94.8012,19827,56
