0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242
0,5143,8990,6368,13815,10253,9602,9632,9629,9691,9789,9912,9626,9141,9323,6932,5437,6324,7324,5784,8990,9851,2976,9320,9348,5812,9218,9356,10398,10244,10239,2489,8867,5797,10152,2989,10066,9109,9129,5285,8752,6361,7657,8490,6492,18621,8033,10125,9665,10155,10077,8182,8256,9946,9588,9584,9580,436,9545,9835,26171,9815,9773,8866,9689,9670,9244,9654,9357,9710,9686,9186,8865,7932,7473,8091,8814,9348,3475,6675,6912,6269,7857,6193,6206,6240,6227,6241,6188,9460,7675,5866,6068,6211,7529,5883,5769,7208,6171,5833,5640,9816,9679,11074,9682,9648,5808,4819,5761,11971,9136,5009,5019,5096,3386,4175,1802,330,468,11053,11399,12655,3104,7548,3030,1182,3134,3124,3007,10823,5595,25188,5018,4889,5490,12697,5028,5097,4480,559,654,1153,9683,12724,10511,14114,3184,10028,9958,9526,9828,26171,3049,9809,9670,9687,6707,10012,6239,4850,11611,5351,6274,5387,11379,9353,2858,2952,2704,9019,4875,13543,9521,9577,11674,5050,9942,7244,4782,4839,869,11487,11103,10121,11055,11232,13908,9194,12685,4145,5056,6812,7423,4785,5907,9047,4726,3494,2958,2868,3898,5692,3043,4833,14111,12749,26159,35114,16426,15924,15071,14469,12732,11582,11574,11029,9158,5521,5825,6027,6198,6917,7174,7629,8096,8600,5924,5486,5069,4313,3710,2595,3186,5572,7771,1849,1672,13248,6031,8261,11893,15070,14999
5286,0,12326,9623,15375,13589,12938,12968,12964,13027,13125,13248,12961,12477,12659,9518,8692,9660,10660,9040,12326,13186,6231,12656,12684,8153,12554,12692,13734,13580,13575,3703,12202,3575,13487,6244,13402,11449,12465,217,11093,9616,9513,10830,9646,16400,10327,13460,13000,13491,13413,10522,11410,13281,12924,12920,12916,4702,12880,13171,23950,13151,13109,12202,13025,13006,12580,12990,12693,13046,13022,12522,12201,11086,9813,9842,12149,12684,6730,9397,9252,9525,11193,9448,9461,8944,8957,8943,9443,12796,11011,9121,9323,8537,10864,8223,9024,10544,9426,8969,7812,13151,13014,14410,13018,12984,7681,6925,9097,15307,12472,6737,6717,6352,6722,5431,5312,5014,5027,14389,14735,15990,2709,10884,2509,5631,2739,2730,2162,14159,6851,22966,6718,8144,6746,10476,6708,6353,5736,5640,5727,5601,13019,10503,13847,11155,6439,13363,13294,12862,13164,23950,6304,13145,13006,13023,9495,13348,8945,2719,13171,8606,9610,7371,12958,12689,6113,6207,5960,12355,2745,15103,12857,12913,15010,8386,13278,10580,8118,8174,4626,13066,12682,13457,12341,12792,15468,12530,16021,7400,7275,9669,9764,6041,9243,12383,8062,6749,6213,6123,5451,1929,2198,2766,11890,10528,23938,32893,17986,17485,16631,16029,14292,13142,13134,12589,11498,7671,8018,8368,8822,9258,9515,9970,10437,10941,7180,6742,6325,5569,4966,3851,4442,3351,10925,5359,3439,16584,3763,6040,9672,12849,12778
8678,11909,0,2614,5088,1389,7453,905,901,967,928,913,1092,650,1268,1842,3196,6681,7681,3039,0,1123,5973,1310,1365,3063,955,628,1670,1516,1512,8239,118,11456,1491,5833,1347,2362,143,12051,2076,2607,2505,2266,2277,24280,1367,1767,937,1360,1178,1597,1130,1353,863,859,855,8730,819,936,31831,1222,942,6717,1027,1049,796,1092,866,1148,1124,853,601,1241,1409,1400,809,1432,6499,1862,2071,2187,1241,2660,2341,2306,2319,2305,2656,778,1567,2764,3000,2803,2073,2992,3467,2260,2519,2904,3402,1088,951,2347,954,921,3570,4468,3363,3516,872,4643,5036,4977,5522,5908,6964,8406,8419,2325,2807,4020,8763,7905,9796,8808,8793,8784,9773,2095,4518,30847,5037,3744,4543,18357,5027,4978,5586,8817,9118,8778,1033,18384,1783,19773,6180,1149,1057,801,887,31831,6046,1014,1108,1125,1830,1284,2307,10509,2883,3770,2947,3950,2651,625,6030,5976,5926,783,10535,4815,2313,2021,3082,4549,1214,8343,5137,4467,9083,2759,2375,1394,2328,2504,5180,208,4050,5251,4186,1871,1452,5340,3786,320,5082,6518,5982,5817,6705,12459,9809,10492,19771,18408,31819,40774,7698,7197,6344,5742,4004,2854,2846,2301,2313,3543,3197,2847,2394,1958,2230,1594,1508,2156,4035,4472,4891,5646,6249,7365,6773,11232,1136,7011,8690,11100,11690,13920,17552,20730,20658
6410,9642,2574,0,7399,3701,5968,3216,3213,3275,3098,3113,3168,2725,2562,2079,929,5260,6260,772,2574,3435,3705,2559,2493,1405,2802,2940,3982,3828,3824,5971,2451,9678,3803,3565,3659,4674,2713,9784,4388,6,137,2993,575,22502,2316,3766,3249,3838,3490,3006,2539,3587,3172,3169,3165,6463,3129,3190,30052,3457,3254,5232,3203,3124,2828,3168,2941,3224,3108,2771,2450,2215,2383,2374,2398,2561,4232,2067,1988,1950,1441,1784,1798,1910,1819,1908,1780,3044,1260,1460,1661,2199,1114,1476,1362,357,251,638,1624,3400,3263,4659,3266,3232,1792,2690,1941,5828,2720,2865,2963,3198,3255,4130,4696,6138,6151,4637,5119,6332,6985,6484,7528,6540,7015,7005,7505,4407,2739,29069,2962,1477,2765,16578,2972,3199,3808,6549,6851,6511,3324,16605,4095,17995,3913,3458,3369,3110,3199,30052,3778,3217,3184,3107,2099,3596,1831,8731,5195,1902,1480,2172,4963,2937,3763,3709,3659,2604,8756,7127,3162,3220,5394,3127,3526,6180,3716,3046,6815,5071,4687,3706,4640,4816,7492,2778,6362,2983,2407,1097,2425,3562,2364,2632,3660,4251,3714,3550,5101,10191,7541,8714,17992,16630,30040,38995,10010,9509,8655,8053,6316,5166,5158,4613,4625,1765,1418,1621,1790,2144,2280,2539,2728,4468,2256,2694,3113,3868,4471,5587,4994,9453,2756,4743,6422,9615,9912,12142,15774,18951,18880
14122,17353,5111,7424,0,5271,11966,5250,5246,5542,5829,5844,5899,5457,6073,6046,8308,11487,12728,8150,5111,4353,10831,6116,6170,7255,5761,5434,4396,4242,4237,13682,5229,15649,5019,10945,5172,3959,5255,17495,4389,7418,7515,4579,7388,28473,5570,5230,5282,5192,5466,5061,5724,5283,5438,5434,5430,14174,5395,5742,36023,5385,5748,11230,5934,5856,5603,5899,5673,5955,5931,5660,5407,6353,5595,6512,5615,6238,11943,6055,6263,6380,6047,6547,6534,6499,6512,6498,6552,5775,6373,7880,6973,6995,6879,7185,7660,7066,7629,8020,7595,5192,5296,3550,5299,5266,7763,8661,8168,3532,5678,8836,9229,9169,10641,10101,12291,13850,13863,3390,3880,4051,12955,12711,13142,14252,12986,12976,15217,3520,8710,35040,9230,8855,8736,22549,9220,9170,9779,14261,14562,14222,5839,22576,4072,23965,11038,5364,5634,5376,5693,36023,11117,5948,5915,5932,6022,5166,6500,14702,3015,7962,7753,8142,2826,5431,11505,11420,11370,5587,14727,4505,6704,6412,4491,9355,3940,12856,9943,9273,14527,3093,3239,3886,3196,2661,101,5321,4081,9149,8378,6987,5644,9533,8592,5126,9888,11962,11426,10929,10898,17902,15253,14685,23963,22601,36011,44966,6631,6130,1139,732,2236,2663,2655,2907,3909,7736,7389,7039,6586,6151,7343,5438,4972,4469,8227,8665,9084,9839,10441,11558,10965,15424,6248,12243,14133,15613,15883,18113,21745,24922,24851
10070,13301,1389,4006,5292,0,7113,720,716,483,604,589,627,975,1142,2989,4589,7766,7875,4432,1389,1327,7365,1184,1240,4199,1233,905,940,1093,1131,9631,1453,12592,101,7225,324,2566,1593,13443,2254,4000,3793,1991,3669,25416,2242,377,752,136,335,2004,2002,428,908,904,900,10122,864,576,32967,531,514,6377,563,924,1070,626,838,683,658,1128,1685,2633,2538,2793,1893,1307,8221,2998,3207,3323,2325,4053,3477,3443,3455,3441,4048,655,2651,4156,4393,3939,3157,4128,4604,3344,3911,4296,4539,361,440,1400,436,736,4706,5604,4447,1985,1150,5779,6172,6113,6914,7044,8356,9798,9811,1945,1413,2669,9899,8821,11188,10200,9929,9920,11165,2299,5654,31983,6173,5133,5679,19493,6163,6114,6722,10209,10511,10171,569,19520,734,20909,7573,307,504,846,765,32967,7395,549,642,659,2966,135,3443,11645,2346,4906,4031,5086,2811,902,7783,7699,7319,1261,11671,3627,1851,1558,1688,5633,1396,8002,6222,5551,10475,1774,2132,1621,2532,2693,5384,1600,2699,6643,5322,3263,2588,6476,4397,1202,6166,8240,7704,7210,7841,13851,11201,11628,20907,19544,32955,41910,7902,7401,6548,5946,4209,3058,3050,2506,2517,4680,4333,3983,3530,3094,3621,2382,1915,2101,5171,5608,6027,6782,7385,8501,7909,12368,2528,8403,10082,10759,12826,15056,18688,21866,21794
9554,12785,7580,5967,11880,7117,0,7174,7139,7033,6653,6776,6490,6933,6187,8109,6388,7250,6990,6695,7580,8316,6849,6184,6212,7418,6770,6997,7993,8146,8184,9114,7464,13371,7016,6709,6930,9397,7724,12927,9397,5961,6058,9586,6460,26195,8304,6989,7207,7019,6941,9122,8527,6810,7131,7127,7123,9606,7088,6699,33746,6679,6637,1533,6553,6534,6830,6518,6796,6574,6550,6739,6882,8199,8367,8358,6830,6212,7706,8055,7976,7850,6322,7773,7786,7898,7807,7897,7768,6843,6076,7876,7584,8187,5380,8377,7283,5608,6172,6561,7182,7358,7115,8519,7119,7120,7350,6348,4162,8835,6939,6538,6548,6730,6404,7662,7840,9282,9295,8998,8263,9519,10678,7936,10672,9684,10708,10699,10649,9288,7475,32762,6547,6403,7501,20272,6557,6731,7340,9693,9994,9654,6547,20299,7882,21614,7056,6892,6822,7069,6692,33746,6880,6673,6534,6551,8088,7252,7819,12424,9196,6879,4675,6908,9661,6993,7268,7184,6802,6972,12450,10477,5470,5763,8538,4693,8449,7117,5706,5036,9959,8893,9658,8674,9521,9543,11972,7659,9549,6125,6585,6983,8410,7094,3750,7289,5651,7725,7189,6693,8576,13334,10685,12407,21686,20324,33734,42689,14490,13989,13135,12533,10796,9811,9803,9495,9446,7041,7284,8231,7778,8211,8469,8524,9033,9476,6992,7430,6645,7399,8002,9265,8981,13147,7638,7887,9565,4727,13605,15836,19467,22645,22573
10012,13243,1332,3949,5234,485,7367,0,430,406,728,713,891,689,1064,2931,4531,7708,8130,4374,1332,1269,7307,1107,1355,4141,946,619,818,971,1009,9573,1395,12534,586,7167,442,2508,1535,13385,2196,3942,3736,1933,3611,25359,2184,632,32,415,453,1946,1715,682,621,618,614,10064,578,736,32909,786,743,6631,818,847,784,881,854,937,913,842,1628,2575,2480,2735,1835,1423,8163,2940,3149,3265,2268,3995,3419,3385,3398,3384,3990,578,2593,4098,4335,3881,3099,4070,4546,3286,3853,4238,4481,183,261,1541,258,449,4648,5546,4389,2470,863,5721,6114,6055,6857,6987,8298,9740,9753,1823,1898,3154,9841,8931,11130,10142,9871,9862,11107,2241,5596,31925,6116,5075,5621,19435,6105,6056,6664,10151,10453,10113,833,19462,876,20851,7515,562,626,559,688,32909,7337,804,897,914,2908,380,3386,11587,2164,4848,3974,5028,2549,616,7725,7641,7261,975,11613,4113,2114,1821,2173,5575,1275,8257,6164,5493,10417,1915,2273,1498,2474,2511,5326,1542,3184,6585,5264,3205,2530,6418,4812,783,6108,8182,7646,7152,7783,13793,11143,11570,20849,19487,32897,41852,7844,7343,6490,5888,4151,3000,2992,2448,2459,4622,4275,3925,3472,3036,3563,2324,1858,2044,5113,5550,5970,6724,7327,8444,7851,12310,2470,8345,10024,11014,12768,14999,18630,21808,21736
9580,12812,901,3213,5266,490,7135,33,0,168,490,475,653,487,827,2930,4099,7276,7897,3942,901,1302,6875,869,1153,4100,744,417,1023,1176,1043,9141,962,12493,591,6736,437,2541,1104,12954,2255,3207,3304,2445,3179,25317,1751,626,65,459,277,1979,1513,452,419,415,412,9633,376,498,32868,553,505,6398,587,609,582,650,523,707,682,640,795,2143,2133,2303,1404,1221,7732,2919,3108,3264,1836,3565,3579,3344,3356,3342,3561,340,2162,3669,3903,3840,2265,4029,4533,2855,3421,3809,4440,216,50,1549,53,19,4607,5505,3957,2477,661,5680,6073,6014,6430,6945,7866,9308,9321,2504,1905,3161,9800,8500,10698,9710,9830,9821,10675,2274,5555,31884,6074,4644,5580,19394,6064,6015,6623,9720,10021,9681,595,19421,884,20810,7083,331,320,357,450,32868,6906,574,666,683,2561,385,3344,11546,2172,5129,3542,4987,2830,414,7294,7209,6829,773,11572,4119,1876,1583,2180,5144,1479,8024,5732,5062,9986,1923,2554,1573,2506,2683,5359,1110,3191,6153,5223,2776,2183,6377,4419,713,5677,7751,7215,6720,7742,13361,10711,11529,20808,19445,32856,41811,7877,7375,6522,5920,4183,3033,3025,2480,2491,4581,4234,3884,3431,2995,3132,1977,1890,2334,5072,5509,5928,6683,7286,8402,7810,12269,2039,8032,9592,10781,12727,14957,18589,21767,21695
9749,12980,967,3231,5434,483,7024,201,168,0,381,365,543,549,717,2948,4268,7294,7786,3956,967,1467,6637,760,815,4117,609,384,1016,1169,1207,9310,980,12510,585,6904,441,2421,1272,13123,2420,3224,3321,2134,3348,25335,1919,631,234,414,270,2147,1682,445,238,234,231,9802,195,388,32885,484,395,6288,480,499,447,542,413,599,574,505,812,2161,2302,2320,963,882,7749,2936,3125,3281,1854,3583,3596,3361,3374,3360,3578,230,2179,3686,3920,3857,2328,4047,4522,2872,3435,3826,4457,385,144,1542,147,149,4624,5522,3975,2469,555,5697,6090,6031,6447,6963,8097,9477,9490,2023,1897,3205,9817,8732,10004,9879,9847,9838,10844,2442,5572,31901,6092,4661,5598,19411,6081,6032,6640,9888,10190,9850,485,19438,877,20827,6844,408,316,176,340,32885,6923,466,559,575,2816,378,3362,11563,2166,4824,3560,5004,2551,380,7311,7227,6998,837,11589,4164,1766,1473,2172,5161,1473,7914,5750,5079,10154,1917,2275,1698,2674,2512,5527,1279,3236,6168,5240,2793,2352,6394,4308,597,5694,7768,7232,6889,7759,13530,10880,11546,20825,19463,32873,41828,8045,7543,6690,6088,4351,3201,3193,2648,2470,4598,4251,3901,3448,3012,3149,2146,2058,2244,5089,5526,5946,6700,7303,8420,7827,12286,2208,8049,9761,10670,12744,14975,18607,21784,21713
