Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,id,pickup_type
,-94.77293767650016,29.327492480392152,1,0,,,,,,,,,,,,,outdoor,1000.0,Truck
,-94.80622984152676,29.3066150729322,1,0,,,,,,,,,,,,,outdoor,1003.0,Truck
,-94.80319324564574,29.307076972140123,1,0,,,,,,,,,,,,,outdoor,1004.0,Truck
,-94.78134476729088,29.3123833091588,1,0,,,,,,,,,,,,,outdoor,1006.0,Truck
,-94.8337225887035,29.2921397286274,1,0,,,,,,,,,,,,,outdoor,1010.0,Truck
,-94.78196938671564,29.3030248581932,1,0,,,,,,,,,,,,,outdoor,1011.0,Truck
,-94.86417580978328,29.287709640220097,1,0,,,,,,,,,,,,,outdoor,1017.0,Truck
,-94.83901023515826,29.29108366340304,1,0,,,,,,,,,,,,,outdoor,1018.0,Truck
,-94.8334411310532,29.29042142675482,1,0,,,,,,,,,,,,,outdoor,1019.0,Truck
,-94.85524271265918,29.267539716885995,1,0,,,,,,,,,,,,,outdoor,1020.0,Truck
,-94.77345456833449,29.31011047969046,1,0,,,,,,,,,,,,,outdoor,2000.0,Truck
,-94.77255791424268,29.30692299243964,1,0,,,,,,,,,,,,,outdoor,2001.0,Truck
,-94.78149423839945,29.303174485909715,1,0,,,,,,,,,,,,,outdoor,2002.0,Truck
,-94.77228403555635,29.304348273085257,1,0,,,,,,,,,,,,,outdoor,2003.0,Truck
,-94.77061008567384,29.307855191372283,1,0,,,,,,,,,,,,,outdoor,2004.0,Truck
,-94.74937088786088,29.31903163297094,1,0,,,,,,,,,,,,,outdoor,2005.0,Truck
,-94.79125240816202,29.296987170079213,1,0,,,,,,,,,,,,,outdoor,2006.0,Truck
,-94.77687451055668,29.317084188399047,1,0,,,,,,,,,,,,,outdoor,2008.0,Truck
,-94.82198101001254,29.275166318239137,1,0,,,,,,,,,,,,,outdoor,2009.0,Truck
,-94.81271795927027,29.27510482953612,1,0,,,,,,,,,,,,,outdoor,2011.0,Truck
,-94.80141651349544,29.290079781803342,1,0,,,,,,,,,,,,,outdoor,2012.0,Truck
,-94.7902187937728,29.28713138145065,1,0,,,,,,,,,,,,,outdoor,2013.0,Truck
,-94.82321262591007,29.269059709958142,1,0,,,,,,,,,,,,,outdoor,2014.0,Truck
,-94.8254596884219,29.294467025132217,1,0,,,,,,,,,,,,,outdoor,2015.0,Truck
,-94.79228185255494,29.30149614872541,1,0,,,,,,,,,,,,,outdoor,2016.0,Truck
,-94.83971047446586,29.29032253864521,1,0,,,,,,,,,,,,,outdoor,2017.0,Truck
,-94.82860688351526,29.27008306635599,1,0,,,,,,,,,,,,,outdoor,2018.0,Truck
,-94.8308675247102,29.27466850361676,1,0,,,,,,,,,,,,,outdoor,2019.0,Truck
,-94.83104920246144,29.27588208130422,1,0,,,,,,,,,,,,,outdoor,2020.0,Truck
,-94.8319366364599,29.264478371825057,1,0,,,,,,,,,,,,,outdoor,2021.0,Truck
,-94.86949678276189,29.265467772956114,1,0,,,,,,,,,,,,,outdoor,2022.0,Truck
,-94.8585634701748,29.25802666551796,1,0,,,,,,,,,,,,,outdoor,2023.0,Truck
,-94.86778062999728,29.243452340388263,1,0,,,,,,,,,,,,,outdoor,2024.0,Truck
,-94.94920025811072,29.200509132181256,1,0,,,,,,,,,,,,,outdoor,2025.0,Truck
,-94.93739816125932,29.2085240573132,1,0,,,,,,,,,,,,,outdoor,2026.0,Truck
,-95.0468334206239,29.144976394730858,1,0,,,,,,,,,,,,,outdoor,2027.0,Truck
,-95.11776778416598,29.085700851392566,1,0,,,,,,,,,,,,,outdoor,2028.0,Truck
,-94.73484853399322,29.330690124659,1,0,,,,,,,,,,,,,outdoor,3000.0,Truck
,-94.73960832343784,29.3320127193003,1,0,,,,,,,,,,,,,outdoor,3001.0,Truck
,-94.74227712140768,29.32605153615685,1,0,,,,,,,,,,,,,outdoor,3002.0,Truck
,-94.7449019143859,29.32322311143816,1,0,,,,,,,,,,,,,outdoor,3003.0,Truck
,-94.76572801010091,29.30764081524064,1,0,,,,,,,,,,,,,outdoor,3004.0,Truck
,-94.76679385290824,29.306890391999296,1,0,,,,,,,,,,,,,outdoor,3005.0,Truck
,-94.767950723184,29.306065117409027,1,0,,,,,,,,,,,,,outdoor,3006.0,Truck
,-94.7692474874237,29.305082322225285,1,0,,,,,,,,,,,,,outdoor,3007.0,Truck
,-94.77754696577183,29.298333179256616,1,0,,,,,,,,,,,,,outdoor,3008.0,Truck
